Source,Target,Weight
0,25,9.5
0,33,9.3
0,101,10.1
0,122,9.2
0,216,9.2
0,261,9.4
0,282,8.8
0,335,10.0
0,587,9.1
0,693,8.9
0,1364,9.0
0,1488,8.9
0,1983,9.2
0,2370,9.3
0,2878,9.1
0,3115,8.9
0,3906,10.0
0,4364,10.0
1,25,9.5
1,33,9.3
1,101,10.1
1,122,9.2
1,216,9.2
1,261,9.4
1,282,8.8
1,335,10.0
1,587,9.1
1,693,8.9
1,1364,9.0
1,1488,8.9
1,1983,9.2
1,2370,9.3
1,2878,9.1
1,3115,8.9
1,3906,10.0
1,4364,10.0
2,25,9.5
2,33,9.3
2,101,10.1
2,122,9.2
2,216,9.2
2,261,9.4
2,282,8.8
2,335,10.0
2,587,9.1
2,693,8.9
2,1364,9.0
2,1488,8.9
2,1983,9.2
2,2370,9.3
2,2878,9.1
2,3115,8.9
2,3906,10.0
2,4364,10.0
3,25,9.5
3,33,9.3
3,101,10.1
3,122,9.2
3,216,9.2
3,261,9.4
3,282,8.8
3,335,10.0
3,587,9.1
3,693,8.9
3,1364,9.0
3,1488,8.9
3,1983,9.2
3,2370,9.3
3,2878,9.1
3,3115,8.9
3,3906,10.0
3,4364,10.0
4,25,9.5
4,33,9.3
4,101,10.1
4,122,9.2
4,216,9.2
4,261,9.4
4,282,8.8
4,335,10.0
4,587,9.1
4,693,8.9
4,1364,9.0
4,1488,8.9
4,1983,9.2
4,2370,9.3
4,2878,9.1
4,3115,8.9
4,3906,10.0
4,4364,10.0
5,25,9.5
5,33,9.3
5,101,10.1
5,122,9.2
5,216,9.2
5,261,9.4
5,282,8.8
5,335,10.0
5,587,9.1
5,693,8.9
5,1364,9.0
5,1488,8.9
5,1983,9.2
5,2370,9.3
5,2878,9.1
5,3115,8.9
5,3906,10.0
5,4364,10.0
6,25,9.5
6,33,9.3
6,101,10.1
6,122,9.2
6,216,9.2
6,261,9.4
6,282,8.8
6,335,10.0
6,587,9.1
6,693,8.9
6,1364,9.0
6,1488,8.9
6,1983,9.2
6,2370,9.3
6,2878,9.1
6,3115,8.9
6,3906,10.0
6,4364,10.0
7,25,9.5
7,33,9.3
7,101,10.1
7,122,9.2
7,216,9.2
7,261,9.4
7,282,8.8
7,335,10.0
7,587,9.1
7,693,8.9
7,1364,9.0
7,1488,8.9
7,1983,9.2
7,2370,9.3
7,2878,9.1
7,3115,8.9
7,3906,10.0
7,4364,10.0
8,25,9.5
8,33,9.3
8,101,10.1
8,122,9.2
8,216,9.2
8,261,9.4
8,282,8.8
8,335,10.0
8,587,9.1
8,693,8.9
8,1364,9.0
8,1488,8.9
8,1983,9.2
8,2370,9.3
8,2878,9.1
8,3115,8.9
8,3906,10.0
8,4364,10.0
9,25,9.5
9,33,9.3
9,101,10.1
9,122,9.2
9,216,9.2
9,261,9.4
9,282,8.8
9,335,10.0
9,587,9.1
9,693,8.9
9,1364,9.0
9,1488,8.9
9,1983,9.2
9,2370,9.3
9,2878,9.1
9,3115,8.9
9,3906,10.0
9,4364,10.0
10,25,9.5
10,33,9.3
10,101,10.1
10,122,9.2
10,216,9.2
10,261,9.4
10,282,8.8
10,335,10.0
10,587,9.1
10,693,8.9
10,1364,9.0
10,1488,8.9
10,1983,9.2
10,2370,9.3
10,2878,9.1
10,3115,8.9
10,3906,10.0
10,4364,10.0
11,25,9.5
11,33,9.3
11,101,10.1
11,122,9.2
11,216,9.2
11,261,9.4
11,282,8.8
11,335,10.0
11,587,9.1
11,693,8.9
11,1364,9.0
