Source,Target,Weight
0,36,12.8
0,150,13.0
0,151,12.5
0,281,14.4
0,311,14.4
0,312,13.4
0,529,18.4
0,570,14.4
0,634,20.9
0,775,13.9
0,847,15.4
0,942,16.3
0,1012,13.1
0,1032,15.8
0,1212,12.9
0,1273,11.8
0,1340,17.3
0,1344,13.7
0,1608,16.5
0,1780,13.8
0,1953,13.9
0,2122,22.8
0,2559,12.0
0,2608,15.4
0,2739,14.1
0,2846,14.6
0,2933,15.3
0,3034,14.1
0,3389,13.2
0,3519,24.0
0,3624,12.5
0,3845,9.8
0,4044,13.7
1,85,14.6
1,138,11.7
1,392,13.3
1,628,14.9
1,707,12.7
1,738,13.4
1,792,15.5
1,853,13.6
1,858,13.2
1,1279,18.6
1,1503,12.3
1,1706,15.5
1,1795,14.8
1,1871,14.1
1,2094,18.7
1,2112,13.7
1,2413,13.4
1,2465,13.3
1,2523,22.9
1,2589,14.6
1,2629,14.6
1,2684,14.3
1,3058,21.0
1,3543,15.4
1,3721,15.2
1,3728,13.3
1,4202,10.2
1,4205,15.6
1,4401,14.5
2,11,18.1
2,29,16.9
2,35,13.0
2,179,13.5
2,218,14.9
2,282,14.8
2,367,13.2
2,392,13.3
2,418,12.9
2,698,14.8
2,708,13.4
2,985,13.2
2,1162,12.3
2,1195,15.0
2,1199,15.2
2,1280,15.2
2,1342,23.8
2,1423,15.6
2,1714,19.9
2,1795,12.8
2,1804,14.3
2,1833,17.0
2,1876,14.7
2,1910,13.2
2,1961,16.2
2,2001,15.6
2,2533,16.0
2,2924,12.9
2,2941,12.3
2,3095,12.9
2,3119,22.5
2,3233,14.9
2,3292,14.3
2,3471,14.5
2,3502,13.1
2,3844,14.6
2,3927,20.9
2,4143,15.9
2,4204,12.7
2,4244,13.4
3,9,16.7
3,65,38.2
3,119,24.5
3,210,17.2
3,286,12.6
3,299,35.2
3,428,35.6
3,590,13.0
3,790,15.4
3,879,17.2
3,979,14.6
3,1067,15.6
3,1142,13.6
3,1180,20.5
3,1201,13.8
3,1348,13.2
3,1358,33.0
3,1396,15.2
3,1490,14.2
3,1695,12.7
3,1762,13.1
3,2086,12.9
3,2184,16.2
3,2259,13.4
3,2399,15.0
3,2488,22.5
3,3743,25.9
3,4356,13.9
4,46,16.5
4,85,15.6
4,169,13.6
4,322,15.3
4,345,15.4
4,373,12.7
4,581,15.3
4,694,15.3
4,1056,15.3
4,1253,24.8
4,1299,14.4
4,1306,18.2
4,1732,12.8
4,2147,14.7
4,2285,14.0
4,2400,13.1
4,2728,13.7
4,2891,14.5
4,2898,17.9
4,2910,14.3
4,2934,13.8
4,2963,14.8
4,3032,17.9
4,3112,14.0
4,3290,18.8
4,3663,13.1
4,4001,21.8
4,4092,15.1
5,20,27.5
5,30,30.7
5,38,27.5
5,159,34.8
5,196,13.7
5,227,13.9
5,413,12.7
5,431,14.8
5,438,13.3
5,506,14.0
5,564,15.4
5,641,14.2
5,813,13.9
5,1041,14.8
5,1114,12.3
5,1154,13.7
5,1178,13.5
5,1197,12.7
5,1317,24.8
5,1414,12.8
5,1426,11.9
5,1532,29.2
5,1570,13.4
5,1696,13.1
5,1884,14.2
5,1969,13.5
5,3087,15.5
5,3153,14.0
5,3320,13.5
5,3447,14.9
5,3988,14.2
5,4094,10.8
5,4278,13.4
5,4317,12.0
5,4366,15.9
6,39,20.3
6,256,12.9
6,330,18.0
6,986,12.2
6,1468,13.1
6,1482,12.1
6,1978,13.8
6,2147,13.7
6,2294,20.8
6,4336,11.8
7,16,21.4
7,26,19.1
7,31,16.8
7,68,19.4
7,79,19.6
7,85,14.6
7,127,14.2
7,162,11.9
7,227,15.9
7,233,13.3
7,344,15.3
7,531,15.1
7,570,14.4
7,1864,14.8
7,1917,14.6
7,2037,13.1
7,2836,13.4
8,36,12.8
8,50,13.2
8,113,37.4
8,114,41.5
8,149,13.4
8,191,25.7
8,197,20.5
8,240,12.7
8,276,23.4
8,329,15.1
8,438,13.3
8,464,13.7
8,501,21.6
8,638,14.3
8,659,13.5
8,769,15.6
8,787,13.8
8,876,17.4
8,1163,13.7
8,1204,14.4
8,1312,14.3
8,1356,14.5
8,1358,16.0
8,1506,14.3
8,1549,15.5
8,1662,12.9
8,1714,14.9
8,1720,15.1
8,1757,16.0
8,1843,16.2
8,1851,15.9
8,1896,16.9
8,1933,12.5
8,2032,13.4
8,2086,12.9
8,2112,13.7
